OSPF Process ID 100 VRF default
Total number of neighbors: 15
Neighbor ID     Pri State            Up Time  Address         Interface
10.1.0.2          1 FULL/ -          11w6d    10.1.250.225    Vlan225
10.1.0.2          0 TWOWAY/DROTHER   11w6d    10.1.31.3       Vlan31
10.1.150.50       1 FULL/DR          1w4d     10.1.31.1       Vlan31
10.1.0.2          1 FULL/DR          11w6d    10.1.250.6      Vlan25
10.1.0.4          1 FULL/ -          11w6d    10.1.250.11     Po242
10.1.0.3          1 FULL/ -          11w6d    10.1.250.21     Po243
10.1.0.12         0 FULL/ -          11w6d    10.250.250.115  Eth1/3
10.1.0.9          0 FULL/ -          11w6d    10.1.250.23     Eth1/5
10.1.0.10         0 FULL/ -          11w6d    10.1.250.25     Eth1/6
10.2.150.1        1 FULL/ -          11w6d    10.250.250.11   Eth1/7
